"Catalog","OSDVersion","OSDStatus","UpdateOS","UpdateBuild","UpdateArch","UpdateGroup","CreationDate","KBNumber","FileKBNumber","Title","UpdateId","LegacyName","Type","FileName","Size","CompanyTitles","ProductFamilyTitles","Category","UpdateClassificationTitle","MsrcSeverity","SecurityBulletins","UpdateType","PublicationState","HasLicenseAgreement","RequiresLicenseAgreementAcceptance","State","IsLatestRevision","HasEarlierRevision","IsBeta","HasStaleUpdateApprovals","IsApproved","IsDeclined","HasSupersededUpdates","IsSuperseded","IsWsusInfrastructureUpdate","IsEditable","UpdateSource","AdditionalInformationUrls","Description","ReleaseNotes","FileUri","OriginUri","Hash","AdditionalHash","OSDCore","OSDWinPE","OSDGuid","PartitionKey","RowKey"
"Windows Server 2019","22.6.14.1","","Windows Server","1809","x64","DotNetCU","7/14/2020 5:00:00 PM","4566516","4565625","2020-07 Cumulative Update for .NET Framework 3.5 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB4566516)","0d506775-e391-41bd-b932-d79df9147c9b","KB4566516-DOTNET-Server-X64-TSL","SelfContained","windows10.0-kb4565625-x64.cab","76406505","Microsoft","Windows","Windows Server 2019","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4566516","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/06/windows10.0-kb4565625-x64_0030dee25072b20025ebb9c4f31844a0cd8bb26f.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/06/windows10.0-kb4565625-x64_0030dee25072b20025ebb9c4f31844a0cd8bb26f.cab","0 48 222 226 80 114 178 0 37 235 185 196 243 24 68 160 205 139 178 111","31 136 25 46 140 123 129 158 83 97 57 25 6 17 25 246 177 60 9 75 70 95 29 237 104 123 163 130 173 202 149 127","","","80f9b746-3bda-436e-ba0d-b25e5f6f2bb6","Windows Server 2019","80f9b746-3bda-436e-ba0d-b25e5f6f2bb6"
"Windows Server 2019","22.6.14.1","","Windows Server","1809","x64","DotNetCU","7/14/2020 5:00:00 PM","4566516","4565632","2020-07 Cumulative Update for .NET Framework 3.5 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB4566516)","0d506775-e391-41bd-b932-d79df9147c9b","KB4566516-DOTNET-Server-X64-TSL","SelfContained","windows10.0-kb4565632-x64-ndp48.cab","78900608","Microsoft","Windows","Windows Server 2019","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4566516","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/06/windows10.0-kb4565632-x64-ndp48_8b481763cf07efc55f729bb1e08dc9fe32d3237a.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/06/windows10.0-kb4565632-x64-ndp48_8b481763cf07efc55f729bb1e08dc9fe32d3237a.cab","139 72 23 99 207 7 239 197 95 114 155 177 224 141 201 254 50 211 35 122","248 209 131 122 191 116 18 68 120 3 17 202 39 0 168 126 48 181 234 85 150 50 60 116 44 130 247 195 90 201 181 212","","","323b9c3e-2b88-4ac1-acdd-21f05ec60c14","Windows Server 2019","323b9c3e-2b88-4ac1-acdd-21f05ec60c14"
"Windows Server 2019","22.6.14.1","","Windows Server","1809","x64","DotNetCU","8/11/2020 5:00:00 PM","4570505","4569776","2020-08 Cumulative Update for .NET Framework 3.5 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB4570505)","35e0f439-aec4-4398-879b-7866e0a8eb62","KB4570505-DOTNET-Server-X64-TSL","SelfContained","windows10.0-kb4569776-x64.cab","78431582","Microsoft","Windows","Windows Server 2019","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4570505","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/07/windows10.0-kb4569776-x64_3ea94342674c03a8316ebfe073b8f24816699cc5.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/07/windows10.0-kb4569776-x64_3ea94342674c03a8316ebfe073b8f24816699cc5.cab","62 169 67 66 103 76 3 168 49 110 191 224 115 184 242 72 22 105 156 197","42 181 73 131 65 87 214 81 21 205 254 25 54 177 40 147 138 180 17 126 131 145 239 238 70 151 9 235 41 69 105 74","","","60256728-6ef3-4e53-a885-8daeae43d798","Windows Server 2019","60256728-6ef3-4e53-a885-8daeae43d798"
"Windows Server 2019","22.6.14.1","","Windows Server","1809","x64","DotNetCU","8/11/2020 5:00:00 PM","4570505","4569750","2020-08 Cumulative Update for .NET Framework 3.5 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB4570505)","35e0f439-aec4-4398-879b-7866e0a8eb62","KB4570505-DOTNET-Server-X64-TSL","SelfContained","windows10.0-kb4569750-x64-ndp48.cab","81931290","Microsoft","Windows","Windows Server 2019","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4570505","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/07/windows10.0-kb4569750-x64-ndp48_0dd3093f3f40487ea43b5e4d0016798e6e7d8f7a.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2020/07/windows10.0-kb4569750-x64-ndp48_0dd3093f3f40487ea43b5e4d0016798e6e7d8f7a.cab","13 211 9 63 63 64 72 126 164 59 94 77 0 22 121 142 110 125 143 122","1 19 206 233 42 150 232 36 41 244 198 65 102 199 85 98 128 156 33 157 143 250 13 59 233 1 198 82 80 251 243 170","","","53c2038f-8691-4aaa-88e7-73867f992033","Windows Server 2019","53c2038f-8691-4aaa-88e7-73867f992033"
"Windows Server 2019","22.6.14.1","","Windows Server","1809","x64","Optional","1/12/2021 6:00:00 PM","4535680","4535680","Security Update for Windows Server 2019 for x64-based Systems (KB4535680)","33a64099-ba99-4e7f-a2d7-cf7d7fc4029f","KB4535680-WinNextServer-RTM-2019-X64-TSL","SelfContained","windows10.0-kb4535680-x64.cab","48026","Microsoft","Windows","Windows Server 2019","Security Updates","Important","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4535680","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2021/01/windows10.0-kb4535680-x64_bf60b4f375be3137e19d2095948f79e2d8336abe.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2021/01/windows10.0-kb4535680-x64_bf60b4f375be3137e19d2095948f79e2d8336abe.cab","191 96 180 243 117 190 49 55 225 157 32 149 148 143 121 226 216 51 106 190","57 227 186 157 34 91 55 15 148 108 99 226 208 54 242 215 178 151 126 81 43 61 154 182 9 123 121 177 210 129 51 4","","","b1c425b9-8692-49ae-82bc-d6f62bf106a6","Windows Server 2019","b1c425b9-8692-49ae-82bc-d6f62bf106a6"
"Windows Server 2019","22.6.14.1","","Windows Server","1809","x64","AdobeSU","2/16/2021 10:00:09 PM","4577586","4577586","Update for Removal of Adobe Flash Player for Windows Server 2019 for x64-based systems (KB4577586)","f26a0046-1e1a-4305-8743-19c92c3095a5","KB4577586-Windows10Rs5Server-RTM-X64-TSL-World","SelfContained","Windows10.0-KB4577586-x64.cab","21455","Microsoft","Windows","Windows Server 2019","Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/4577586","This update will remove Adobe Flash Player from your Windows machine. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/c/msdownload/update/software/updt/2020/10/windows10.0-kb4577586-x64_06ebe9335c8e417e086810e04b1ddc89cb427d03.cab","http://download.windowsupdate.com/c/msdownload/update/software/updt/2020/10/windows10.0-kb4577586-x64_06ebe9335c8e417e086810e04b1ddc89cb427d03.cab","6 235 233 51 92 142 65 126 8 104 16 224 75 29 220 137 203 66 125 3","36 175 130 122 106 30 54 233 209 228 74 175 156 209 195 249 9 22 61 188 214 10 148 135 6 93 129 180 2 208 220 239","","","f52cefe8-8041-437a-8692-afe632d6b6f7","Windows Server 2019","f52cefe8-8041-437a-8692-afe632d6b6f7"
"Windows Server 2019","22.6.14.1","","Windows Server","1809","x64","Optional","3/9/2021 10:02:06 PM","4589208","4589208","2021-01 Update for Windows Server 2019 for x64-based Systems (KB4589208)","89e11227-761b-4396-bf37-37a2b641fa84","KB4589208-Windows10Rs5Server-RTM-X64-TSL-World","SelfContained","Windows10.0-KB4589208-v2-x64.cab","3276052","Microsoft","Windows","Windows Server 2019","Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/4589208","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/c/msdownload/update/software/updt/2021/01/windows10.0-kb4589208-v2-x64_c7af21cdf923f050a3dc8e7924c0245ee651da56.cab","http://download.windowsupdate.com/c/msdownload/update/software/updt/2021/01/windows10.0-kb4589208-v2-x64_c7af21cdf923f050a3dc8e7924c0245ee651da56.cab","199 175 33 205 249 35 240 80 163 220 142 121 36 192 36 94 230 81 218 86","217 189 65 111 62 143 225 98 110 151 201 160 199 1 139 137 234 45 251 203 67 104 212 255 37 228 44 252 111 222 188 135","","","b8ecea9d-0613-4d26-83b3-2d84e2c39187","Windows Server 2019","b8ecea9d-0613-4d26-83b3-2d84e2c39187"
"Windows Server 2019","22.6.14.1","","Windows Server","1809","x64","SSU","8/10/2021 5:00:06 PM","5005112","5005112","2021-08 Servicing Stack Update for Windows Server 2019 for x64-based Systems (KB5005112)","c93b3ce0-c637-47c6-9ba7-ca7725eb5a98","KB5005112-Windows10Rs5Server-RTM-ServicingStackUpdate-X64-TSL-World","SelfContained","Windows10.0-KB5005112-x64.cab","14341636","Microsoft","Windows","Windows Server 2019","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5005112","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2021/08/windows10.0-kb5005112-x64_99919606d4632b1f4b9bd4bff48a363739776047.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2021/08/windows10.0-kb5005112-x64_99919606d4632b1f4b9bd4bff48a363739776047.cab","153 145 150 6 212 99 43 31 75 155 212 191 244 138 54 55 57 119 96 71","42 47 73 212 201 74 92 125 157 3 15 123 130 173 122 100 102 230 202 45 78 37 22 242 119 100 151 25 102 149 61 81","","","def2b81e-b355-4d20-983f-641c18cb3082","Windows Server 2019","def2b81e-b355-4d20-983f-641c18cb3082"
"Windows Server 2019","22.6.14.1","","Windows Server","1809","x64","DotNetCU","5/10/2022 5:00:00 PM","5013868","5013626","2022-05 Cumulative Update for .NET Framework 3.5 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB5013868)","fbe80e42-8f5f-4f11-ae5f-d7ed74533276","KB5013868-DotNetCumulative-RS5-Server-x64-Retail","SelfContained","Windows10.0-KB5013626-x64-NDP48.cab","84791050","Microsoft","Windows","Windows Server 2019","Security Updates","Important","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/5013868","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2022/04/windows10.0-kb5013626-x64-ndp48_2a39d253f673ddf44e8ecad0b815369da2d72c1e.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2022/04/windows10.0-kb5013626-x64-ndp48_2a39d253f673ddf44e8ecad0b815369da2d72c1e.cab","42 57 210 83 246 115 221 244 78 142 202 208 184 21 54 157 162 215 44 30","117 252 120 132 226 252 154 87 6 2 25 84 90 224 229 224 32 203 210 124 61 215 165 69 240 3 69 153 106 121 180 115","","","fa31bb65-d104-497b-8bcb-01bbb6b57dc9","Windows Server 2019","fa31bb65-d104-497b-8bcb-01bbb6b57dc9"
"Windows Server 2019","22.6.14.1","","Windows Server","1809","x64","DotNetCU","5/10/2022 5:00:00 PM","5013868","5013641","2022-05 Cumulative Update for .NET Framework 3.5 4.7.2 and 4.8 for Windows Server 2019 for x64 (KB5013868)","fbe80e42-8f5f-4f11-ae5f-d7ed74533276","KB5013868-DotNetCumulative-RS5-Server-x64-Retail","SelfContained","Windows10.0-KB5013641-x64.cab","80134898","Microsoft","Windows","Windows Server 2019","Security Updates","Important","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/5013868","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2022/04/windows10.0-kb5013641-x64_3016161f3dca8521bc56d432397adf0e2548ef5c.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2022/04/windows10.0-kb5013641-x64_3016161f3dca8521bc56d432397adf0e2548ef5c.cab","48 22 22 31 61 202 133 33 188 86 212 50 57 122 223 14 37 72 239 92","32 165 229 102 249 10 186 54 58 181 75 227 115 111 127 180 188 62 123 139 82 0 210 203 181 247 237 192 238 141 181 164","","","9ce05115-9a7d-48df-b60f-15a9a3987f85","Windows Server 2019","9ce05115-9a7d-48df-b60f-15a9a3987f85"
