"Catalog","OSDVersion","OSDStatus","UpdateOS","UpdateBuild","UpdateArch","UpdateGroup","CreationDate","KBNumber","FileKBNumber","Title","UpdateId","LegacyName","Type","FileName","Size","CompanyTitles","ProductFamilyTitles","Category","UpdateClassificationTitle","MsrcSeverity","SecurityBulletins","UpdateType","PublicationState","HasLicenseAgreement","RequiresLicenseAgreementAcceptance","State","IsLatestRevision","HasEarlierRevision","IsBeta","HasStaleUpdateApprovals","IsApproved","IsDeclined","HasSupersededUpdates","IsSuperseded","IsWsusInfrastructureUpdate","IsEditable","UpdateSource","AdditionalInformationUrls","Description","ReleaseNotes","FileUri","OriginUri","Hash","AdditionalHash","OSDCore","OSDWinPE","OSDGuid","PartitionKey","RowKey"
"Windows 10 20H2","21.12.14.1","","Windows 10","20H2","x86","DotNetCU","2/9/2021 6:00:00 PM","4601050","4601050","2021-02 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 version 20H2 (KB4601050)","2842cf63-c95b-4af8-9a00-b4565d49dea5","KB4601050-DotNetCumulative-Client-x86-Retail","SelfContained","Windows10.0-KB4601050-x86-NDP48.cab","43432292","Microsoft","Windows","Windows 10, version 1903 and later","Security Updates","Important","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4601050","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2021/01/windows10.0-kb4601050-x86-ndp48_5cbafaf61e380370b21112b0adffbb51e0c68473.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2021/01/windows10.0-kb4601050-x86-ndp48_5cbafaf61e380370b21112b0adffbb51e0c68473.cab","92 186 250 246 30 56 3 112 178 17 18 176 173 255 187 81 224 198 132 115","95 199 156 137 190 203 115 21 206 164 227 67 77 222 243 191 220 83 146 86 79 152 102 223 17 179 162 82 89 87 229 59","","","0590556e-5c66-4270-91cf-561ebf5b6972","Windows 10 20H2","0590556e-5c66-4270-91cf-561ebf5b6972"
"Windows 10 20H2","21.12.14.1","","Windows 10","20H2","x64","DotNetCU","2/9/2021 6:00:00 PM","4601050","4601050","2021-02 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 version 20H2 for x64 (KB4601050)","a8761130-35b6-41ce-8b67-2d35bb2d0846","KB4601050-DotNetCumulative-Client-x64-Retail","SelfContained","Windows10.0-KB4601050-x64-NDP48.cab","68032596","Microsoft","Windows","Windows 10, version 1903 and later","Security Updates","Important","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/4601050","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2021/01/windows10.0-kb4601050-x64-ndp48_cb09a1198335a24535d73b8ddfa4196ba5edc115.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2021/01/windows10.0-kb4601050-x64-ndp48_cb09a1198335a24535d73b8ddfa4196ba5edc115.cab","203 9 161 25 131 53 162 69 53 215 59 141 223 164 25 107 165 237 193 21","96 156 71 36 185 226 110 196 197 200 188 241 190 182 26 133 157 191 52 10 163 248 110 29 62 138 127 201 40 16 124 97","","","e47986c8-dec4-4d03-bfd5-a1c6deb38f54","Windows 10 20H2","e47986c8-dec4-4d03-bfd5-a1c6deb38f54"
"Windows 10 20H2","21.12.14.1","","Windows 10","20H2","x64","AdobeSU","2/16/2021 10:00:06 PM","4577586","4577586","Update for Removal of Adobe Flash Player for Windows 10 Version 20H2 for x64-based systems (KB4577586)","1c982167-eb94-4e1c-add1-a3a857c497e1","KB4577586-Windows1020h2Client-RTM-X64-TSL-World","SelfContained","Windows10.0-KB4577586-x64.cab","21321","Microsoft","Windows","Windows 10, version 1903 and later","Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/4577586","This update will remove Adobe Flash Player from your Windows machine. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/c/msdownload/update/software/updt/2020/10/windows10.0-kb4577586-x64_025c603f506481a321d52e47e18fe8374b64a3a5.cab","http://download.windowsupdate.com/c/msdownload/update/software/updt/2020/10/windows10.0-kb4577586-x64_025c603f506481a321d52e47e18fe8374b64a3a5.cab","2 92 96 63 80 100 129 163 33 213 46 71 225 143 232 55 75 100 163 165","89 182 148 163 5 79 30 154 106 201 31 87 1 240 43 143 219 6 67 105 111 57 44 226 230 44 246 198 191 104 123 153","","","3dbfb34c-be44-4790-b648-27af3267463d","Windows 10 20H2","3dbfb34c-be44-4790-b648-27af3267463d"
"Windows 10 20H2","21.12.14.1","","Windows 10","20H2","x86","AdobeSU","2/16/2021 10:00:06 PM","4577586","4577586","Update for Removal of Adobe Flash Player for Windows 10 Version 20H2 for x86-based systems (KB4577586)","bf004106-c016-47a1-99a0-83a9be4fffd4","KB4577586-Windows1020h2Client-RTM-X86-TSL-World","SelfContained","Windows10.0-KB4577586-x86.cab","18752","Microsoft","Windows","Windows 10, version 1903 and later","Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/4577586","This update will remove Adobe Flash Player from your Windows machine. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/d/msdownload/update/software/updt/2020/10/windows10.0-kb4577586-x86_f6e25b621670a00363bb6d2974c4574c5868f2a6.cab","http://download.windowsupdate.com/d/msdownload/update/software/updt/2020/10/windows10.0-kb4577586-x86_f6e25b621670a00363bb6d2974c4574c5868f2a6.cab","246 226 91 98 22 112 160 3 99 187 109 41 116 196 87 76 88 104 242 166","186 48 120 152 31 198 16 9 27 218 173 235 78 48 165 104 105 229 233 185 4 61 236 103 85 134 117 112 55 5 85 140","","","6351e191-7091-4818-b60f-aa991c70f50c","Windows 10 20H2","6351e191-7091-4818-b60f-aa991c70f50c"
"Windows 10 20H2","21.12.14.1","","Windows 10","20H2","x64","Optional","3/9/2021 10:02:06 PM","4589212","4589212","2021-01 Update for Windows 10 Version 20H2 for x64-based Systems (KB4589212)","d24f2611-9859-40c3-b3b7-d8d0692118e5","KB4589212-Windows1020h2Client-RTM-X64-TSL-World","SelfContained","Windows10.0-KB4589212-v2-x64.cab","3122038","Microsoft","Windows","Windows 10, version 1903 and later","Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/4589212","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/c/msdownload/update/software/updt/2021/01/windows10.0-kb4589212-v2-x64_a2aabdd9d06d57c9275997cab64eb45d6821e934.cab","http://download.windowsupdate.com/c/msdownload/update/software/updt/2021/01/windows10.0-kb4589212-v2-x64_a2aabdd9d06d57c9275997cab64eb45d6821e934.cab","162 170 189 217 208 109 87 201 39 89 151 202 182 78 180 93 104 33 233 52","105 149 50 78 234 243 222 76 117 96 156 226 38 135 72 99 236 246 105 212 119 48 40 43 79 233 162 92 212 190 240 76","","","f10e39e8-73c7-4b26-a548-249e21a8dfde","Windows 10 20H2","f10e39e8-73c7-4b26-a548-249e21a8dfde"
"Windows 10 20H2","21.12.14.1","","Windows 10","20H2","x86","Optional","3/9/2021 10:02:06 PM","4589212","4589212","2021-01 Update for Windows 10 Version 20H2 for x86-based Systems (KB4589212)","903cd787-a7cf-455c-b195-9bf122df94d8","KB4589212-Windows1020h2Client-RTM-X86-TSL-World","SelfContained","Windows10.0-KB4589212-v2-x86.cab","3123272","Microsoft","Windows","Windows 10, version 1903 and later","Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/4589212","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/c/msdownload/update/software/updt/2021/01/windows10.0-kb4589212-v2-x86_a101f6d99195476b6261536e225569589951087a.cab","http://download.windowsupdate.com/c/msdownload/update/software/updt/2021/01/windows10.0-kb4589212-v2-x86_a101f6d99195476b6261536e225569589951087a.cab","161 1 246 217 145 149 71 107 98 97 83 110 34 85 105 88 153 81 8 122","208 56 201 112 56 165 42 254 216 230 40 98 67 96 167 121 78 228 103 210 51 72 236 205 255 20 255 28 139 224 152 65","","","7f149aa2-1021-4670-b938-79905ff0cdf3","Windows 10 20H2","7f149aa2-1021-4670-b938-79905ff0cdf3"
"Windows 10 20H2","21.12.14.1","","Windows 10","20H2","x64","SSU","8/10/2021 5:00:06 PM","5005260","19041 1161","2021-08 Servicing Stack Update for Windows 10 Version 20H2 for x64-based Systems (KB5005260)","6e88be6e-d470-4e7e-9f36-01479049aadb","KB5005260-Windows1020h2Client-RTM-ServicingStackUpdate-X64-TSL-World","SelfContained","SSU-19041.1161-x64.cab","15362985","Microsoft","Windows","Windows 10, version 1903 and later","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5005260","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2021/08/ssu-19041.1161-x64_7c0b02b7c1c2419ca955f7a4a4ab3f316dce6e23.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2021/08/ssu-19041.1161-x64_7c0b02b7c1c2419ca955f7a4a4ab3f316dce6e23.cab","124 11 2 183 193 194 65 156 169 85 247 164 164 171 63 49 109 206 110 35","82 36 173 110 141 157 46 145 171 222 203 216 195 166 161 41 193 234 1 180 52 216 52 28 135 49 151 168 99 186 83 174","","","7128751d-df9c-42c4-ba80-c27078a52b47","Windows 10 20H2","7128751d-df9c-42c4-ba80-c27078a52b47"
"Windows 10 20H2","21.12.14.1","","Windows 10","20H2","x86","SSU","8/10/2021 5:00:06 PM","5005260","19041 1161","2021-08 Servicing Stack Update for Windows 10 Version 20H2 for x86-based Systems (KB5005260)","4f76850c-d487-4e53-a6e5-2ecf2ba54199","KB5005260-Windows1020h2Client-RTM-ServicingStackUpdate-X86-TSL-World","SelfContained","SSU-19041.1161-x86.cab","6943595","Microsoft","Windows","Windows 10, version 1903 and later","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5005260","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2021/08/ssu-19041.1161-x86_bb28ecde88a1a78bbf8809c101bf741823e6a963.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2021/08/ssu-19041.1161-x86_bb28ecde88a1a78bbf8809c101bf741823e6a963.cab","187 40 236 222 136 161 167 139 191 136 9 193 1 191 116 24 35 230 169 99","126 158 109 16 201 203 177 164 126 88 129 24 18 43 251 198 196 34 251 59 15 137 42 23 184 13 105 50 197 19 172 92","","","d263141a-f90c-4e88-bfea-6c628290469f","Windows 10 20H2","d263141a-f90c-4e88-bfea-6c628290469f"
"Windows 10 20H2","21.12.14.1","","Windows 10","20H2","x86","DotNetCU","11/9/2021 6:00:00 PM","5006365","5006365","2021-11 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 20H2 (KB5006365)","162b043f-c150-4d37-a3e6-579745b6e93d","KB5006365-DotNetCumulative-Client-x86-Retail","SelfContained","Windows10.0-KB5006365-x86-NDP48.cab","43754241","Microsoft","Windows","Windows 10, version 1903 and later","Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/5006365","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/d/msdownload/update/software/updt/2021/09/windows10.0-kb5006365-x86-ndp48_6c7a4e67510e6970c3e19079d39b6e04ed044b9a.cab","http://download.windowsupdate.com/d/msdownload/update/software/updt/2021/09/windows10.0-kb5006365-x86-ndp48_6c7a4e67510e6970c3e19079d39b6e04ed044b9a.cab","108 122 78 103 81 14 105 112 195 225 144 121 211 155 110 4 237 4 75 154","149 140 210 67 45 235 51 119 33 251 94 20 247 27 18 63 39 70 3 170 231 78 96 189 128 96 19 169 222 206 96 95","","","ae68df99-a2fa-48c8-b581-66f6842384bc","Windows 10 20H2","ae68df99-a2fa-48c8-b581-66f6842384bc"
"Windows 10 20H2","21.12.14.1","","Windows 10","20H2","x64","DotNetCU","11/9/2021 6:00:00 PM","5006365","5006365","2021-11 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 20H2 for x64 (KB5006365)","40c39bca-6981-42bc-8777-a6302645460a","KB5006365-DotNetCumulative-Client-x64-Retail","SelfContained","Windows10.0-KB5006365-x64-NDP48.cab","68492527","Microsoft","Windows","Windows 10, version 1903 and later","Updates","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/5006365","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/d/msdownload/update/software/updt/2021/09/windows10.0-kb5006365-x64-ndp48_2281bd211f1772a24a42789f7cfc5ddf46976840.cab","http://download.windowsupdate.com/d/msdownload/update/software/updt/2021/09/windows10.0-kb5006365-x64-ndp48_2281bd211f1772a24a42789f7cfc5ddf46976840.cab","34 129 189 33 31 23 114 162 74 66 120 159 124 252 93 223 70 151 104 64","34 237 203 33 137 199 254 36 147 159 14 246 91 56 190 88 132 242 122 188 161 129 127 194 5 134 224 171 89 1 12 86","","","8321c747-b51c-457c-b590-219dc2a5595d","Windows 10 20H2","8321c747-b51c-457c-b590-219dc2a5595d"
