"Catalog","OSDVersion","OSDStatus","UpdateOS","UpdateBuild","UpdateArch","UpdateGroup","CreationDate","KBNumber","FileKBNumber","Title","UpdateId","LegacyName","Type","FileName","Size","CompanyTitles","ProductFamilyTitles","Category","UpdateClassificationTitle","MsrcSeverity","SecurityBulletins","UpdateType","PublicationState","HasLicenseAgreement","RequiresLicenseAgreementAcceptance","State","IsLatestRevision","HasEarlierRevision","IsBeta","HasStaleUpdateApprovals","IsApproved","IsDeclined","HasSupersededUpdates","IsSuperseded","IsWsusInfrastructureUpdate","IsEditable","UpdateSource","AdditionalInformationUrls","Description","ReleaseNotes","FileUri","OriginUri","Hash","AdditionalHash","OSDCore","OSDWinPE","OSDGuid","PartitionKey","RowKey"
"Windows 10 21H2","23.5.9.1","","Windows 10","21H2","x64","SSU","5/10/2022 5:02:06 PM","5014032","19041 1704","2022-05 Servicing Stack Update for Windows 10 Version 21H2 for x64-based Systems (KB5014032)","08492bfd-055e-4b43-ba37-b30e1fbfdfe1","KB5014032-Windows1021h2Client-RTM-ServicingStackUpdate-X64-TSL-World","SelfContained","SSU-19041.1704-x64.cab","15671025","Microsoft","Windows","Windows 10, version 1903 and later Windows 10 LTSB","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5014032","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2022/05/ssu-19041.1704-x64_c01ad66716dc695d7aa1afab622e2d8be0eb2d65.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2022/05/ssu-19041.1704-x64_c01ad66716dc695d7aa1afab622e2d8be0eb2d65.cab","192 26 214 103 22 220 105 93 122 161 175 171 98 46 45 139 224 235 45 101","245 122 50 15 38 85 33 65 29 17 50 107 95 44 165 204 197 167 111 138 83 47 198 106 195 181 128 115 157 0 229 251","","","437d8b13-9009-4dd1-b774-530ff0230b3a","Windows 10 21H2","437d8b13-9009-4dd1-b774-530ff0230b3a"
"Windows 10 21H2","23.5.9.1","","Windows 10","21H2","x86","SSU","5/10/2022 5:02:06 PM","5014032","19041 1704","2022-05 Servicing Stack Update for Windows 10 Version 21H2 for x86-based Systems (KB5014032)","841c7193-96db-43b9-8e89-eebd1d1c3a04","KB5014032-Windows1021h2Client-RTM-ServicingStackUpdate-X86-TSL-World","SelfContained","SSU-19041.1704-x86.cab","7021681","Microsoft","Windows","Windows 10, version 1903 and later Windows 10 LTSB","Security Updates","Critical","","Software","Published","False","False","Ready","True","False","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5014032","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2022/05/ssu-19041.1704-x86_ee3d06086a520f783b7342872cf5cd8b3558c906.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2022/05/ssu-19041.1704-x86_ee3d06086a520f783b7342872cf5cd8b3558c906.cab","238 61 6 8 106 82 15 120 59 115 66 135 44 245 205 139 53 88 201 6","34 10 65 196 69 98 70 108 110 205 101 31 147 238 0 62 188 18 88 226 50 224 185 208 178 121 147 238 25 106 110 130","","","f0206a41-a587-44f8-b70e-21a5fc8f6408","Windows 10 21H2","f0206a41-a587-44f8-b70e-21a5fc8f6408"
"Windows 10 21H2","23.5.9.1","","Windows 10","21H2","x64","Optional","8/9/2022 5:00:11 PM","5012170","5012170","2022-08 Security Update for Windows 10 Version 21H2 for x64-based Systems (KB5012170)","01f7dc80-5870-4a79-bb59-fe9071e01405","KB5012170-Windows1021h2Client-RTM-StandaloneSecurity-X64-TSL-World","SelfContained","Windows10.0-KB5012170-x64.cab","118979","Microsoft","Windows","Windows 10, version 1903 and later Windows 10 LTSB","Security Updates","Critical","","Software","Published","False","False","Ready","True","True","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5012170","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2022/08/windows10.0-kb5012170-x64_b120c3bdd40329520f54950d20d053d1e7660faa.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2022/08/windows10.0-kb5012170-x64_b120c3bdd40329520f54950d20d053d1e7660faa.cab","177 32 195 189 212 3 41 82 15 84 149 13 32 208 83 209 231 102 15 170","83 187 11 64 41 232 156 150 164 222 85 65 186 112 76 34 52 253 142 229 85 67 211 252 20 42 55 116 224 227 245 221","","","d1a2266b-6603-45eb-b1e3-f34046d8514f","Windows 10 21H2","d1a2266b-6603-45eb-b1e3-f34046d8514f"
"Windows 10 21H2","23.5.9.1","","Windows 10","21H2","x86","Optional","8/9/2022 5:00:18 PM","5012170","5012170","2022-08 Security Update for Windows 10 Version 21H2 for x86-based Systems (KB5012170)","4701a8af-8542-4142-b842-7d155d5e7cad","KB5012170-Windows1021h2Client-RTM-StandaloneSecurity-X86-TSL-World","SelfContained","Windows10.0-KB5012170-x86.cab","106831","Microsoft","Windows","Windows 10, version 1903 and later Windows 10 LTSB","Security Updates","Critical","","Software","Published","False","False","Ready","True","True","False","False","False","False","False","False","False","False","MicrosoftUpdate","https://support.microsoft.com/help/5012170","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2022/08/windows10.0-kb5012170-x86_dccc6092cebe8131e7fe4d389f09447f0bc4c657.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2022/08/windows10.0-kb5012170-x86_dccc6092cebe8131e7fe4d389f09447f0bc4c657.cab","220 204 96 146 206 190 129 49 231 254 77 56 159 9 68 127 11 196 198 87","158 167 6 8 198 86 200 72 3 90 224 19 88 212 94 144 252 230 116 141 92 161 11 88 123 6 187 69 10 89 222 107","","","196575b8-33d7-47e3-aa0b-24787175b7ed","Windows 10 21H2","196575b8-33d7-47e3-aa0b-24787175b7ed"
"Windows 10 21H2","23.5.9.1","","Windows 10","21H2","x86","DotNetCU","3/29/2023 9:00:00 PM","5022728","5022502","2023-02 Cumulative Update for .NET Framework 3.5 4.8 and 4.8.1 for Windows 10 Version 21H2 (KB5022728)","207abcae-ab0d-4ac0-9641-d1b7a9f277d2","KB5022728-DotNetCumulative-21H2-Client-x86-Retail","SelfContained","Windows10.0-KB5022502-x86-NDP48.cab","45715956","Microsoft","Windows","Windows 10, version 1903 and later Windows 10 LTSB","Security Updates","Important","","Software","Published","False","False","NotNeeded","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/5022728","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2022/12/windows10.0-kb5022502-x86-ndp48_081d61464d461a70a89ae42104c367f3017fff85.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2022/12/windows10.0-kb5022502-x86-ndp48_081d61464d461a70a89ae42104c367f3017fff85.cab","8 29 97 70 77 70 26 112 168 154 228 33 4 195 103 243 1 127 255 133","192 101 88 189 97 219 73 187 58 132 177 240 80 36 237 33 232 170 43 180 177 68 128 196 219 41 231 66 119 126 148 123","","","6a247a9c-d18f-420f-84b0-0b6c62ebd5d3","Windows 10 21H2","6a247a9c-d18f-420f-84b0-0b6c62ebd5d3"
"Windows 10 21H2","23.5.9.1","","Windows 10","21H2","x86","DotNetCU","3/29/2023 9:00:00 PM","5022728","5022498","2023-02 Cumulative Update for .NET Framework 3.5 4.8 and 4.8.1 for Windows 10 Version 21H2 (KB5022728)","207abcae-ab0d-4ac0-9641-d1b7a9f277d2","KB5022728-DotNetCumulative-21H2-Client-x86-Retail","SelfContained","Windows10.0-KB5022498-x86-NDP481.cab","40211458","Microsoft","Windows","Windows 10, version 1903 and later Windows 10 LTSB","Security Updates","Important","","Software","Published","False","False","NotNeeded","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/5022728","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2022/12/windows10.0-kb5022498-x86-ndp481_dc4cff8081c67b8becfc1d813c130da72bcadc7e.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2022/12/windows10.0-kb5022498-x86-ndp481_dc4cff8081c67b8becfc1d813c130da72bcadc7e.cab","220 76 255 128 129 198 123 139 236 252 29 129 60 19 13 167 43 202 220 126","247 91 186 61 4 224 238 237 239 137 33 130 156 3 207 6 74 12 3 91 70 165 159 192 210 233 130 59 141 0 92 103","","","4debb44d-a390-4f98-a465-94c9191a096c","Windows 10 21H2","4debb44d-a390-4f98-a465-94c9191a096c"
"Windows 10 21H2","23.5.9.1","","Windows 10","21H2","x86","DotNetCU","3/29/2023 9:00:00 PM","5022728","5022498","2023-02 Cumulative Update for .NET Framework 3.5 4.8 and 4.8.1 for Windows 10 Version 21H2 (KB5022728)","207abcae-ab0d-4ac0-9641-d1b7a9f277d2","KB5022728-DotNetCumulative-21H2-Client-x86-Retail","SelfContained","Windows10.0-KB5022498-x86-NDP481.cab","40213602","Microsoft","Windows","Windows 10, version 1903 and later Windows 10 LTSB","Security Updates","Important","","Software","Published","False","False","NotNeeded","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/5022728","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2023/03/windows10.0-kb5022498-x86-ndp481_6121868cfd2ec1f4e69461c7c199d5994f891a0b.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2023/03/windows10.0-kb5022498-x86-ndp481_6121868cfd2ec1f4e69461c7c199d5994f891a0b.cab","97 33 134 140 253 46 193 244 230 148 97 199 193 153 213 153 79 137 26 11","255 97 133 231 171 61 31 60 190 141 98 53 65 27 121 204 160 26 196 42 204 38 49 211 238 85 199 63 242 184 169 210","","","9a55c633-bd56-46e4-a967-501874ea9bb1","Windows 10 21H2","9a55c633-bd56-46e4-a967-501874ea9bb1"
"Windows 10 21H2","23.5.9.1","","Windows 10","21H2","x64","DotNetCU","3/29/2023 9:00:00 PM","5022728","5022498","2023-02 Cumulative Update for .NET Framework 3.5 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5022728)","e1046f9b-4eff-4dee-95f0-f31ed5cbc1ea","KB5022728-DotNetCumulative-21H2-Client-x64-Retail","SelfContained","Windows10.0-KB5022498-x64-NDP481.cab","63379113","Microsoft","Windows","Windows 10, version 1903 and later Windows 10 LTSB","Security Updates","Important","","Software","Published","False","False","NotNeeded","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/5022728","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2023/03/windows10.0-kb5022498-x64-ndp481_de82f929e7fd4b45e9db84a19be554c439080ebd.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2023/03/windows10.0-kb5022498-x64-ndp481_de82f929e7fd4b45e9db84a19be554c439080ebd.cab","222 130 249 41 231 253 75 69 233 219 132 161 155 229 84 196 57 8 14 189","170 82 179 244 173 89 123 36 6 177 96 211 226 64 54 201 92 169 244 19 231 67 88 125 69 64 231 107 31 61 72 64","","","977a04db-0892-4508-a27b-62bcddac4a04","Windows 10 21H2","977a04db-0892-4508-a27b-62bcddac4a04"
"Windows 10 21H2","23.5.9.1","","Windows 10","21H2","x64","DotNetCU","3/29/2023 9:00:00 PM","5022728","5022498","2023-02 Cumulative Update for .NET Framework 3.5 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5022728)","e1046f9b-4eff-4dee-95f0-f31ed5cbc1ea","KB5022728-DotNetCumulative-21H2-Client-x64-Retail","SelfContained","Windows10.0-KB5022498-x64-NDP481.cab","63381133","Microsoft","Windows","Windows 10, version 1903 and later Windows 10 LTSB","Security Updates","Important","","Software","Published","False","False","NotNeeded","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/5022728","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/c/msdownload/update/software/secu/2022/12/windows10.0-kb5022498-x64-ndp481_d8357e873e5d54c85322a63e950ee227ee91689d.cab","http://download.windowsupdate.com/c/msdownload/update/software/secu/2022/12/windows10.0-kb5022498-x64-ndp481_d8357e873e5d54c85322a63e950ee227ee91689d.cab","216 53 126 135 62 93 84 200 83 34 166 62 149 14 226 39 238 145 104 157","202 234 231 171 13 189 27 27 13 9 8 179 208 57 185 91 228 32 78 247 97 62 38 91 218 60 152 103 169 105 83 175","","","3f4d438a-d4d4-4092-ad5f-aa0b81a94835","Windows 10 21H2","3f4d438a-d4d4-4092-ad5f-aa0b81a94835"
"Windows 10 21H2","23.5.9.1","","Windows 10","21H2","x64","DotNetCU","3/29/2023 9:00:00 PM","5022728","5022502","2023-02 Cumulative Update for .NET Framework 3.5 4.8 and 4.8.1 for Windows 10 Version 21H2 for x64 (KB5022728)","e1046f9b-4eff-4dee-95f0-f31ed5cbc1ea","KB5022728-DotNetCumulative-21H2-Client-x64-Retail","SelfContained","Windows10.0-KB5022502-x64-NDP48.cab","72028715","Microsoft","Windows","Windows 10, version 1903 and later Windows 10 LTSB","Security Updates","Important","","Software","Published","False","False","NotNeeded","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://support.microsoft.com/kb/5022728","A security issue has been identified in a Microsoft software product that could affect your system. You can help protect your system by installing this update from Microsoft. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article. After you install this update, you may have to restart your system.","","http://download.windowsupdate.com/d/msdownload/update/software/secu/2022/12/windows10.0-kb5022502-x64-ndp48_9a8ef9caf0e99916c130fab6e4c9947f6dd1c294.cab","http://download.windowsupdate.com/d/msdownload/update/software/secu/2022/12/windows10.0-kb5022502-x64-ndp48_9a8ef9caf0e99916c130fab6e4c9947f6dd1c294.cab","154 142 249 202 240 233 153 22 193 48 250 182 228 201 148 127 109 209 194 148","243 153 4 249 19 128 116 109 204 162 208 17 56 78 4 133 164 161 56 8 179 173 227 15 122 7 243 134 44 86 206 16","","","ec9c133a-8c8a-4ade-89f8-c9716ab76fbb","Windows 10 21H2","ec9c133a-8c8a-4ade-89f8-c9716ab76fbb"
